Category,ProductPrice,Quantity,PaymentMethod,CustomerAge,CustomerGender,CustomerPurchaseHistory,CustomerReturnHistory,ProductRating,Product_Warranty,ShippingMode,DiscountApplied,return_rate,effective_price,is_high_value,discount_price_ratio,is_low_rated,rating_risk_score,is_bulk_order,age_group,risk_score,Return_Risk
3,32684.12,2,1,30,0,77,3,2.8,2,1,10.14,0.039,29369.95,1,0.00031,1,0.0858,0,1,3.117,1
7,18088.35,4,4,43,1,16,8,1.8,1,1,7.65,0.5,16704.59,0,0.000423,1,1.6,1,2,4.5,0
8,27899.84,1,2,32,0,62,43,3.3,1,0,40.18,0.6935,16689.68,1,0.00144,0,1.179,0,1,4.0805,0
8,19842.78,2,2,38,0,76,17,4.5,1,0,13.33,0.2237,17197.74,0,0.000672,0,0.1118,0,2,0.6711,0
4,297.71,7,0,53,2,43,26,3.4,0,1,14.24,0.6047,255.32,0,0.047672,0,0.9675,1,3,2.8141,0
7,4379.29,3,3,21,1,80,51,4.5,1,0,19.66,0.6375,3518.32,0,0.004488,0,0.3188,0,0,1.9125,1
2,21027.75,6,4,30,0,20,20,1.7,3,0,47.86,1.0,10963.87,0,0.002276,1,3.3,1,1,7.0,0
0,41237.36,5,2,24,0,43,38,2.5,2,1,8.26,0.8837,37831.15,1,0.0002,1,2.2092,1,0,6.6511,0
3,13517.0,3,0,27,2,40,11,2.2,2,1,47.18,0.275,7139.68,0,0.00349,1,0.77,0,1,3.825,0
1,36061.95,5,4,39,0,24,10,4.1,1,1,43.55,0.4167,20356.97,1,0.001208,0,0.375,1,2,4.2501,0
7,20987.36,3,0,41,2,98,74,2.0,3,1,42.13,0.7551,12145.39,0,0.002007,1,2.2653,0,2,5.2653,0
7,32069.07,2,4,18,1,33,16,2.4,2,0,44.9,0.4848,17670.06,1,0.0014,1,1.2605,0,0,5.4544,0
6,22124.26,5,0,57,0,90,21,2.6,3,1,10.16,0.2333,19876.44,0,0.000459,1,0.5599,1,3,3.6999,0
3,37035.75,4,3,45,2,87,61,1.2,2,0,20.78,0.7011,29339.72,1,0.000561,1,2.6642,1,2,6.1033,1
4,49232.96,1,4,24,1,1,0,1.1,2,1,32.93,0.0,33020.55,1,0.000669,1,0.0,0,0,3.0,1
4,15070.15,2,4,62,1,72,24,1.1,3,1,33.95,0.3333,9953.83,0,0.002253,1,1.2999,0,3,2.9999,1
8,32441.8,5,0,31,2,64,55,3.4,3,0,16.35,0.8594,27137.57,1,0.000504,0,1.375,1,1,4.5782,0
8,16219.87,5,1,42,1,67,42,1.8,3,1,37.23,0.6269,10181.21,0,0.002295,1,2.0061,1,2,4.8807,0
2,41267.41,7,3,43,2,36,8,2.3,1,1,3.49,0.2222,39827.18,1,8.5e-05,1,0.5999,1,2,4.6666,0
8,49288.61,3,2,24,2,69,20,3.1,2,1,39.54,0.2899,29799.89,1,0.000802,0,0.5508,0,0,1.8697,0
4,39387.24,1,1,59,0,41,40,2.9,3,0,27.1,0.9756,28713.3,1,0.000688,1,2.0488,0,3,5.9268,1
8,539.12,1,4,49,2,49,14,4.2,1,1,0.92,0.2857,534.16,0,0.001703,0,0.2286,0,3,0.8571,1
8,7722.88,1,2,21,0,20,8,1.7,2,0,46.58,0.4,4125.56,0,0.006031,1,1.32,0,0,4.2,0
0,15439.27,1,2,56,0,20,18,3.8,1,1,16.89,0.9,12831.58,0,0.001094,0,1.08,0,3,2.7,0
0,10510.34,5,4,34,0,17,17,1.7,1,0,34.24,1.0,6911.6,0,0.003257,1,3.3,1,1,6.0,0
4,21110.0,7,1,51,1,27,23,3.1,3,1,1.31,0.8519,20833.46,0,6.2e-05,0,1.6186,1,3,3.5557,1
1,27962.68,3,4,41,0,66,40,4.0,2,1,43.63,0.6061,15762.56,1,0.00156,0,0.6061,0,2,3.8183,0
0,43051.99,5,1,35,1,8,2,2.9,1,0,43.35,0.25,24388.95,1,0.001007,1,0.525,1,1,5.75,0
3,18002.04,2,1,33,0,45,9,3.5,1,0,38.65,0.2,11044.25,0,0.002147,0,0.3,0,1,0.6,0
6,14916.89,1,1,34,2,71,71,4.1,0,1,33.38,1.0,9937.63,0,0.002238,0,0.9,0,1,3.0,1
7,46290.75,1,1,24,2,68,27,3.8,0,0,3.96,0.3971,44457.64,1,8.6e-05,0,0.4765,0,0,2.1913,0
7,11924.46,7,0,60,0,37,3,4.1,2,1,31.35,0.0811,8186.14,0,0.002629,0,0.073,1,3,1.2433,0
1,26652.89,1,3,18,2,58,17,3.8,2,0,15.11,0.2931,22625.64,1,0.000567,0,0.3517,0,0,1.8793,0
0,14631.55,4,3,21,1,64,64,2.0,1,0,2.48,1.0,14268.69,0,0.000169,1,3.0,1,0,6.0,0
1,39402.97,4,3,27,1,74,12,4.7,1,1,36.52,0.1622,25013.01,1,0.000927,0,0.0487,1,1,2.4866,0
5,42640.04,3,3,31,2,84,84,1.5,0,1,17.93,1.0,34994.68,1,0.00042,1,3.5,0,1,6.0,0
3,27593.01,1,3,37,0,93,0,2.1,2,0,3.24,0.0,26699.0,1,0.000117,1,0.0,0,2,3.0,0
0,8350.12,2,4,23,2,48,30,2.7,3,1,12.62,0.625,7296.33,0,0.001511,1,1.4375,0,0,3.875,0
3,1130.47,3,1,48,0,69,35,3.2,1,0,47.42,0.5072,594.4,0,0.04191,0,0.913,0,3,2.5216,0
6,36470.07,1,2,51,2,97,89,4.7,3,0,20.99,0.9175,28815.0,1,0.000576,0,0.2752,0,3,3.7525,0
1,38004.7,3,2,47,1,47,33,3.1,2,1,13.23,0.7021,32976.68,1,0.000348,0,1.334,0,3,3.1063,0
2,12735.58,5,1,46,0,42,20,3.8,1,0,21.33,0.4762,10019.08,0,0.001675,0,0.5714,1,3,2.4286,0
6,43450.58,6,4,18,0,59,18,2.7,2,0,38.32,0.3051,26800.32,1,0.000882,1,0.7017,1,0,4.9153,1
5,18445.06,3,4,36,0,86,62,2.9,0,0,12.45,0.7209,16148.65,0,0.000675,1,1.5139,0,2,4.1627,0
0,44385.82,3,1,64,1,11,2,3.0,2,0,36.71,0.1818,28091.79,1,0.000827,0,0.3636,0,3,1.5454,1
